2026-08-18 21:05:53,444 [INFO] 🚀 워커 봇 시작됨 (ID: worker_86a4afbf) - 16단계 상태머신 기반 KIS 001x 통신 대기 중...
2026-08-18 21:06:28,405 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:29,411 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:29,412 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:30,418 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:30,420 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:31,425 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:31,427 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:32,438 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:32,461 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:33,470 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:33,470 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:34,474 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:34,475 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:35,479 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:35,480 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:36,483 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:36,485 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:37,493 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:37,494 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:38,503 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:38,505 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:39,515 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:39,516 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:40,524 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:40,525 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:41,532 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:41,533 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:42,540 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:42,541 [ERROR] 계좌 정보 로드 실패 (portfolio: SATELLITE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
2026-08-18 21:06:43,551 [ERROR] 계좌 정보 로드 실패 (portfolio: CORE): No secrets found. Valid paths for a secrets.toml file or secret directories are: C:\Users\user\.streamlit\secrets.toml, C:\Users\user\quant-dashboard\.streamlit\secrets.toml
